	number	gender	case	person	aspect	collectivity	degree	negation	fullstoppedness	accomodability	accentibility	prepositionality	agglutination	vocality
acl	99.29	99.18	99.28		33.33			100.0						
acl:relcl	79.06	57.15	20.52		55.56	100.0	75.0	100.0						
advcl	75.44	49.87	69.74	69.93	63.44		77.14	100.0					100.0	
advcl:cmpr	74.73	53.45		100.0	61.9		60.0							
advcl:relcl	73.33	50.0		93.33	66.15									
advmod			20.0				74.46							
amod	99.78	99.81	99.48				92.31		100.0					
amod:flat	99.87	99.73	98.87				100.0							
appos	94.33	82.57	88.3		100.0	90.91		100.0	88.89					
aux	99.86	99.01			96.72									
aux:clitic	99.86			50.0	48.71									
aux:pass	98.84	98.54			64.12									
case	33.33	33.33	94.76											
ccomp	69.66	32.09	19.23	51.01	56.35		90.91	100.0						
ccomp:cleft	69.16	12.77	31.58			100.0								
ccomp:obj	70.82	43.93	14.29	66.41	49.12			100.0						
conj	83.62	60.57	95.97	88.02	81.15	87.89	97.22	97.98	92.68	82.35	100.0	100.0	100.0	
cop	95.94	79.75		80.0	41.38									
csubj	74.61	10.94	45.45	91.11	64.12									
csubj:pass	25.0		50.0		50.0									
det	99.36	98.59	98.31				94.74							
det:numgov	92.18	97.67	1.0			100.0								
det:nummod	100.0	98.91	100.0			100.0								
det:poss	99.82	99.7	99.7				100.0							
fixed	98.22	87.78	89.54		100.0	100.0	100.0		58.82					95.74
flat	98.0	92.92	92.77			97.44			100.0	85.71				
iobj	63.85	24.79	11.75	29.46	55.11			100.0						
list	66.67	50.0	100.0											
nmod	67.2	26.46	23.24		60.32	78.13	86.21	100.0	67.8	83.33				
nmod:arg	61.34	27.99	27.34			85.99			86.36					
nmod:flat	81.85	55.66	65.78			88.89								
nmod:poss	50.91	5.45	3.64											
nmod:pred	100.0				100.0			100.0						
nsubj	94.4	88.82	61.18	98.51	52.55	87.88	83.33	100.0						
nsubj:pass	98.27	97.59	99.13		45.0			100.0						
nummod	99.59	95.44	97.18			100.0								
nummod:flat	100.0	100.0	100.0											
nummod:gov	96.97	89.79	4.28			98.67								
obj	62.85	20.61	40.59	36.59	50.82	100.0		100.0	100.0					
obl	65.39	25.34	11.27	59.79	54.86		86.67	99.21						
obl:agent	61.05	22.62	15.24			100.0		100.0						
obl:arg	66.43	25.79	15.26	35.92	54.23		100.0	98.15						
obl:cmpr	66.45	51.44	36.52		42.86	92.86	57.41	100.0						
orphan	70.59	24.49	17.65				100.0				100.0			
parataxis:insert	73.16	32.3	17.47	64.52	53.62	71.43	83.33		80.0	100.0				
parataxis:obj	72.27	42.88	55.88	52.1	55.59	100.0								
vocative	91.12	60.0	32.43	100.0										
xcomp	95.48	85.26	14.29	33.33	43.52			100.0						
xcomp:cleft	100.0													
xcomp:pred	85.71	64.68	10.81		35.29									
xcomp:subj					68.42									
